,Genotypes,PruningBiomass,TimeofBudbrust,Timeoffullbloom,Time of verasion,ABW,BW,BD,BL,TSS,Acidity,Compaactness,Skinfirmness,Bunlen,pedunclelength,Physiologicalmaturity,Seed weight ,NOS
40,Manjari Medika,0.5396666666666666,11.0,29.0,104.66666666666667,356.0333333333333,112.83999999999999,15.200000000000001,16.533333333333335,18.933333333333334,0.5133333333333333,6.6066666666666665,61.96666666666667,16.533333333333335,21.933333333333334,120.0,0.0,1.3333333333333333
41,Maroo Seedless,0.13266666666666668,10.0,38.333333333333336,106.0,257.96,148.03666666666666,13.333333333333334,14.633333333333333,19.366666666666667,0.7133333333333334,6.43,45.300000000000004,12.533333333333333,10.233333333333334,127.33333333333333,0.0,1.6666666666666667
42,Marquise,0.5243333333333333,14.333333333333334,31.666666666666668,100.66666666666667,159.22666666666666,115.48333333333333,13.333333333333334,15.266666666666666,18.616666666666667,0.59,5.586666666666667,49.0,17.566666666666666,29.400000000000002,125.66666666666667,0.0,0.0
43,Muscat Petit,1.0256666666666667,11.666666666666666,34.666666666666664,106.33333333333333,225.00666666666666,66.61666666666666,12.0,13.056666666666667,17.790000000000003,0.7766666666666667,8.453333333333333,63.43333333333333,19.7,26.2,126.33333333333333,0.0,0.0
44,Muscat White,0.8173333333333334,8.666666666666666,37.0,103.0,122.13333333333333,68.07333333333334,13.556666666666667,15.043333333333335,23.123333333333335,0.7200000000000001,8.450000000000001,59.333333333333336,15.366666666666667,25.2,125.66666666666667,4.493333333333333,2.0
45,Muscat of Alexandria,0.4163333333333334,9.666666666666666,34.333333333333336,104.0,264.94666666666666,207.30333333333337,16.833333333333332,17.466666666666665,17.543333333333333,0.77,3.6533333333333338,61.866666666666674,17.599999999999998,30.866666666666664,133.0,5.3933333333333335,1.6666666666666667
46,Pearl of Csaba,0.8383333333333334,10.0,36.666666666666664,99.0,269.3433333333333,102.03333333333335,14.9,18.0,24.150000000000002,0.6066666666666667,5.3933333333333335,55.5,17.5,31.46666666666667,127.33333333333333,0.0,0.0
47,Peru white,0.9506666666666667,9.333333333333334,35.333333333333336,104.66666666666667,338.26666666666665,179.38333333333333,17.5,19.333333333333332,24.8,0.5466666666666667,4.223333333333334,48.333333333333336,17.599999999999998,24.900000000000002,128.66666666666666,5.38,1.6666666666666667
48,Petit Syrah,0.5056666666666666,9.0,38.0,103.0,510.9433333333333,62.79333333333333,12.6,13.766666666666666,20.133333333333336,0.6466666666666666,8.476666666666667,42.46666666666667,12.166666666666666,21.900000000000002,132.33333333333334,5.226666666666667,1.6666666666666667
49,Red prince,1.9463333333333332,13.0,35.0,106.0,132.59,113.21,14.1,17.566666666666666,21.033333333333335,0.6699999999999999,3.4333333333333336,62.166666666666664,12.833333333333334,29.099999999999998,126.66666666666667,5.88,1.6666666666666667
50,Ribier,0.7040000000000001,12.333333333333334,40.666666666666664,109.33333333333333,330.45,66.91666666666667,18.400000000000002,19.5,16.623333333333335,0.7233333333333333,2.6466666666666665,50.46666666666667,15.733333333333334,13.466666666666667,134.66666666666666,3.8433333333333337,1.6666666666666667
51,Riesling,0.4406666666666667,10.666666666666666,37.0,110.66666666666667,274.2,176.9,16.933333333333334,18.733333333333334,18.46666666666667,0.81,2.52,45.4,18.066666666666666,17.8,137.33333333333334,5.1433333333333335,1.0
52,Rosaria Bianca,0.441,8.0,37.333333333333336,105.66666666666667,245.69000000000003,123.02,18.0,21.929999999999996,16.523333333333333,0.7033333333333333,3.4933333333333336,54.9,14.656666666666666,29.766666666666666,125.0,5.413333333333334,2.3333333333333335
53,Rose  of Penn,0.8163333333333332,12.333333333333334,34.666666666666664,103.0,189.77666666666667,97.94,13.666666666666666,16.333333333333332,21.133333333333333,0.5133333333333333,8.423333333333334,50.53333333333333,8.233333333333334,12.566666666666668,125.66666666666667,5.1466666666666665,2.3333333333333335
54,Rose Ciotat,0.8546666666666667,12.666666666666666,34.666666666666664,101.33333333333333,121.00333333333333,100.81666666666666,17.433333333333334,18.633333333333333,18.033333333333335,0.57,3.4433333333333334,46.46666666666667,10.766666666666666,3.766666666666667,127.33333333333333,8.22,3.0
55,Rose of Peru,0.5193333333333333,12.0,35.333333333333336,101.33333333333333,35.660000000000004,75.34333333333333,13.566666666666668,15.4,18.316666666666666,0.79,3.5566666666666666,55.03333333333333,11.966666666666667,12.200000000000001,125.66666666666667,7.16,2.3333333333333335
56,Rubi red,0.7623333333333333,11.666666666666666,35.0,105.33333333333333,389.39000000000004,72.39,13.666666666666666,14.666666666666666,18.866666666666664,0.6633333333333334,2.4933333333333336,47.4,12.700000000000001,21.8,137.66666666666666,7.583333333333333,1.6666666666666667
57,Sauvignon blanc,1.0056666666666667,9.666666666666666,34.0,100.33333333333333,322.4833333333333,71.96666666666665,12.4,12.666666666666666,22.633333333333336,0.57,5.493333333333333,52.53333333333333,9.4,12.0,141.33333333333334,4.8933333333333335,1.3333333333333333
58,Seibel 9308,0.719,9.666666666666666,34.0,104.0,255.03333333333333,84.25,13.833333333333334,16.2,18.75,0.5966666666666667,3.4966666666666666,31.766666666666666,11.4,13.266666666666666,136.0,6.79,2.6666666666666665
59,Semillon,0.7026666666666666,9.333333333333334,38.0,109.0,194.29999999999998,77.59333333333333,13.166666666666666,14.166666666666666,18.566666666666666,0.71,4.333333333333333,43.4,14.433333333333332,15.700000000000001,138.33333333333334,6.433333333333334,1.6666666666666667
60,Symphony,0.6836666666666668,8.666666666666666,40.0,103.66666666666667,558.9333333333333,106.53000000000002,15.700000000000001,16.766666666666666,20.7,0.6366666666666667,2.53,50.5,13.766666666666666,20.433333333333334,131.0,4.3533333333333335,1.6666666666666667
